,City,City Link,Course,Course Link
140,Cathedral City,http://www.golfcalifornia.com/courses/cathedral-city/,Pebble Course at Cimarron Golf Club,http://www.golfcalifornia.com/courses/cathedral-city/cimarron-gc-pebble/
141,Ceres,http://www.golfcalifornia.com/courses/ceres/,River Oaks Golf Course,http://www.golfcalifornia.com/courses/ceres/river-oaks-gc/
142,Cerritos,http://www.golfcalifornia.com/courses/cerritos/,Cerritos Iron-Wood Nine Golf Course,http://www.golfcalifornia.com/courses/cerritos/cerritos-ironwood-gc/
143,Cherry Valley,http://www.golfcalifornia.com/courses/cherry-valley/,Highland Springs Village Golf Course,http://www.golfcalifornia.com/courses/cherry-valley/highland-springs-village-gc/
144,Chester,http://www.golfcalifornia.com/courses/chester/,Lake Almanor West Golf Course,http://www.golfcalifornia.com/courses/chester/lake-almanor-west-gc/
145,Chico,http://www.golfcalifornia.com/courses/chico/,Bidwell Park Golf Course,http://www.golfcalifornia.com/courses/chico/bidwell-park-gc/
146,Chico,http://www.golfcalifornia.com/courses/chico/,Butte Creek Country Club,http://www.golfcalifornia.com/courses/chico/butte-creek-cc/
147,Chico,http://www.golfcalifornia.com/courses/chico/,Canyon Oaks Country Club,http://www.golfcalifornia.com/courses/chico/canyon-oaks-cc/
148,Chico,http://www.golfcalifornia.com/courses/chico/,Skyway Golf Park,http://www.golfcalifornia.com/courses/chico/skyway-g-p/
149,Chino,http://www.golfcalifornia.com/courses/chino/,Butterfield Stage at El Prado Golf Course,http://www.golfcalifornia.com/courses/chino/el-prado-butterfield-stage/
150,Chino,http://www.golfcalifornia.com/courses/chino/,Chino Creek at El Prado Golf Course,http://www.golfcalifornia.com/courses/chino/el-prado-chino-creek/
151,Chino Hills,http://www.golfcalifornia.com/courses/chino-hills/,North at Los Serranos Country Club,http://www.golfcalifornia.com/courses/chino-hills/los-serranos-cc-north/
152,Chino Hills,http://www.golfcalifornia.com/courses/chino-hills/,South at Los Serranos Country Club,http://www.golfcalifornia.com/courses/chino-hills/los-serranos-cc-south/
153,Chino Hills,http://www.golfcalifornia.com/courses/chino-hills/,Vellano Country Club,http://www.golfcalifornia.com/courses/chino-hills/vellano-cc/
154,Chino Hills,http://www.golfcalifornia.com/courses/chino-hills/,Western Hills Golf & Country Club,http://www.golfcalifornia.com/courses/chino-hills/western-hills-cc/
155,Chowchilla,http://www.golfcalifornia.com/courses/chowchilla/,Pheasant Run Golf Course,http://www.golfcalifornia.com/courses/chowchilla/pheasant-run-gc/
156,Chula Vista,http://www.golfcalifornia.com/courses/chula-vista/,Eastlake Country Club,http://www.golfcalifornia.com/courses/chula-vista/eastlake-cc/
157,Chula Vista,http://www.golfcalifornia.com/courses/chula-vista/,Salt Creek Golf Club,http://www.golfcalifornia.com/courses/chula-vista/salt-creek-gc/
158,Chula Vista,http://www.golfcalifornia.com/courses/chula-vista/,San Diego Country Club,http://www.golfcalifornia.com/courses/chula-vista/san-diego-cc/
159,Citrus Heights,http://www.golfcalifornia.com/courses/citrus-heights/,Sunrise Golf Course,http://www.golfcalifornia.com/courses/citrus-heights/sunrise-gc/
160,City of Industry,http://www.golfcalifornia.com/courses/city-of-industry/,Eisenhower Course from Industry Hills Golf Club at Pacific Palms Resort,http://www.golfcalifornia.com/courses/city-of-industry/industry-hills-gc-dwight-d-eisenhower/
161,City of Industry,http://www.golfcalifornia.com/courses/city-of-industry/,Zaharias Course from Industry Hills Golf Club at Pacific Palms Resort,http://www.golfcalifornia.com/courses/city-of-industry/industry-hills-gc-babe-didrikson-zaharias/
162,Clayton,http://www.golfcalifornia.com/courses/clayton/,Oakhurst Country Club,http://www.golfcalifornia.com/courses/clayton/oakhurst-cc/
163,Clio,http://www.golfcalifornia.com/courses/clio/,Golf Club at Whitehawk Ranch,http://www.golfcalifornia.com/courses/clio/whitehawk-ranch/
